01.01.2012;01.01.2012;Neujahr
06.01.2012;06.01.2012;Heilige Drei Könige
02.04.2012;14.04.2012;Osterferien NRW / H / B
06.04.2012;06.04.2012;Karfreitag
09.04.2012;09.04.2012;Ostermontag
01.05.2012;01.05.2012;Tag der Arbeit
01.05.2012;01.05.2012;Tag der Arbeit
17.05.2012;17.05.2012;Christi Himmelfahrt
18.05.2012;18.05.2012;Pfingstferien SH
28.05.2012;28.05.2012;Pfingstmontag
29.05.2012;29.05.2012;Pfingstferien NRW / B
30.05.2012;09.06.2012;Pfingstferien B
07.06.2012;07.06.2012;Fronleichnam
25.06.2012;01.07.2012;Sommerferien SH
02.07.2012;08.07.2012;Sommerferien H / SH
09.07.2012;30.09.2012;Sommerferien NRW / H / SH
01.08.2012;04.08.2012;Sommerferien NRW / H / SH / B
05.08.2012;10.08.2012;Sommerferien NRW / H / B
11.08.2012;21.08.2012;Sommerferien NRW / B
22.08.2012;12.09.2012;Sommerferien B
15.08.2012;15.08.2012;Mariä Himmelfahrt
03.10.2012;03.10.2012;Tag der Deutschen Einheit
04.10.2012;07.10.2012;Herbstferien SH
08.10.2012;14.10.2012;Herbstferien NRW / SH
15.10.2012;19.10.2012;Herbstferien NRW / H / SH
20.10.2012;20.10.2012;Herbstferien NRW / H
21.10.2012;27.10.2012;Herbstferien H
29.10.2012;03.11.2012;Herbstferien B
31.10.2012;31.10.2012;Reformationstag
01.11.2012;01.11.2012;Allerheiligen
21.11.2012;21.11.2012;Buß- und Bettag
21.12.2012;23.12.2012;Weihnachtsferien NRW
24.12.2012;04.01.2013;Weihnachtsferien NRW / H / B / SH
05.01.2013;05.01.2013;Weihnachtsferien B / SH
25.12.2012;25.12.2012;1. Weihnachtstag
26.12.2012;26.12.2012;2. Weihnachtstag
01.01.2013;01.01.2013;Neujahr
05.01.2013;12.01.2013;Weihnachtsferien H
06.01.2013;06.01.2013;Heilige Drei Könige
25.03.2013;06.04.2013;Osterferien NRW / H / B
29.03.2013;29.03.2013;Karfreitag
01.04.2013;01.04.2013;Ostermontag
09.05.2013;09.05.2013;Christi Himmelfahrt
10.05.2013;10.05.2013;Pfingstferien SH
20.05.2013;20.05.2013;Pfingstmontag
21.05.2013;21.05.2013;Pfingstferien NRW / B
22.05.2013;31.05.2013;Pfingstferien B
30.05.2013;30.05.2013;Fronleichnam
24.06.2013;07.07.2013;Sommerferien SH
08.07.2013;21.07.2013;Sommerferien H / SH
22.07.2013;30.07.2013;Sommerferien NRW / H / SH
31.07.2013;03.08.2013;Sommerferien NRW / H / SH / B
04.08.2013;16.08.2013;Sommerferien NRW / H / B
17.08.2013;11.09.2013;Sommerferien B
15.08.2013;15.08.2013;Mariä Himmelfahrt
17.08.2013;03.09.2013;Sommerferien NRW
03.10.2013;03.10.2013;Tag der Deutschen Einheit
04.10.2013;13.10.2013;Herbstferien SH
14.10.2013;19.10.2013;Herbstferien H / SH
20.10.2013;20.10.2013;Herbstferien H
21.10.2013;26.10.2013;Herbstferien NRW / H
27.10.2013;27.10.2013;Herbstferien NRW
28.10.2013;31.10.2013;Herbstferien NRW / B
01.11.2013;02.11.2013;Herbstferien NRW
31.10.2013;31.10.2013;Reformationstag
01.11.2013;01.11.2013;Allerheiligen
20.11.2013;20.11.2013;Buß- und Bettag
23.12.2013;04.01.2014;Weihnachtsferien NRW / H / B / SH
05.01.2014;06.01.2014;Weihnachtsferien NRW / H  / SH
07.01.2014;07.01.2014;Weihnachtsferien NRW / H
25.12.2013;25.12.2013;1. Weihnachtstag
26.12.2013;26.12.2013;2. Weihnachtstag
08.01.2014;11.01.2014;Weihnachtsferien H
