01.01.14;01.01.14;Neujahr
06.01.14;06.01.14;Heilige Drei Könige
14.04.14;15.04.14;OF NRW / H / B
16.04.14;26.04.14;OF NRW / H / B / SH
27.04.14;02.05.14;OF SH
18.04.14;18.04.14;Karfreitag
21.04.14;21.04.14;Ostermontag
01.05.14;01.05.14;Tag der Arbeit
29.05.14;29.05.14;Christi Himmelfahrt
30.05.14;30.05.14;PF SH
09.06.14;09.06.14;Pfingstmontag
10.06.14;10.06.14;PF NRW
10.06.14;21.06.14;PF B
19.06.14;19.06.14;Fronleichnam
07.07.14;13.07.14;SF NRW
14.07.14;27.07.14;SF NRW / SH
28.07.14;27.07.14;SF NRW / SH / H
30.07.14;19.08.14;SF NRW / SH / H / B
20.08.14;23.08.14;SF SH / H / B
24.08.14;05.09.14;SF H / B
06.09.14;15.09.14;SF B
15.08.14;15.08.14;Mariä Himmelfahrt
03.10.14;03.10.14;Tag der Deutschen Einheit
06.10.14;12.10.14;HF NRW
13.10.14;18.10.14;HF NRW / SH
19.10.14;19.10.14;HF SH
20.10.14;25.10.14;HF SH / H
26.10.14;26.10.14;HF H
27.10.14;31.10.14;HF H / B
01.11.14;01.11.14;HF H
31.10.14;31.10.14;Reformationstag
01.11.14;01.11.14;Allerheiligen
19.11.14;19.11.14;Buß- und Bettag
22.12.14;23.12.14;WF NRW / SH / H
24.12.14;05.01.15;WF NRW / SH / H / B
05.01.15;06.01.15;WF NRW / SH / H
07.01.15;10.01.15;WF H
25.12.14;25.12.14;1. Weihnachtstag
26.12.14;26.12.14;2. Weihnachtstag
