Start;Ende;Text;
01.01.2012;01.01.2012;Neujahr;
06.01.2012;06.01.2012;Heilige Drei Könige;
06.04.2012;06.04.2012;Karfreitag;
09.04.2012;09.04.2012;Ostermontag;
01.05.2012;01.05.2012;Tag der Arbeit;
17.05.2012;17.05.2012;Christi Himmelfahrt;
28.05.2012;28.05.2012;Pfingstmontag;
07.06.2012;07.06.2012;Fronleichnam;
15.08.2012;15.08.2012;Mariä Himmelfahrt;
03.10.2012;03.10.2012;Tag der Deutschen Einheit;
31.10.2012;31.10.2012;Reformationstag;
01.11.2012;01.11.2012;Allerheiligen;
21.11.2012;21.11.2012;Buß- und Bettag;
25.12.2012;25.12.2012;1. Weihnachtstag;
26.12.2012;26.12.2012;2. Weihnachtstag;
01.01.2013;01.01.2013;Neujahr;
06.01.2013;06.01.2013;Heilige Drei Könige;
29.03.2013;29.03.2013;Karfreitag;
01.04.2013;01.04.2013;Ostermontag;
01.05.2012;01.05.2012;Tag der Arbeit;
09.05.2013;09.05.2013;Christi Himmelfahrt;
20.05.2013;20.05.2013;Pfingstmontag;
30.05.2013;30.05.2013;Fronleichnam;
15.08.2013;15.08.2013;Mariä Himmelfahrt;
03.10.2013;03.10.2013;Tag der Deutschen Einheit;
31.10.2013;31.10.2013;Reformationstag;
01.11.2013;01.11.2013;Allerheiligen;
20.11.2013;20.11.2013;Buß- und Bettag;
25.12.2013;25.12.2013;1. Weihnachtstag;
26.12.2013;26.12.2013;2. Weihnachtstag;
02.04.2012;14.04.2012;Osterferien NRW / H;
25.03.2013;06.04.2013;Osterferien NRW / H;
29.05.2012;29.05.2012;Pfingstferien NRW;
21.05.2013;21.05.2013;Pfingstferien NRW;
09.07.2012;10.08.2012;Sommerferien NRW / H;
02.07.2012;08.07.2012;Sommerferien H;
11.08.2012;21.08.2012;Sommerferien NRW;
22.07.2013;16.08.2013;Sommerferien NRW / H;
08.07.2013;21.07.2013;Sommerferien H;
17.08.2013;03.09.2013;Sommerferien NRW;
15.10.2012;20.10.2012;Herbstferien NRW / H;
21.10.2012;27.10.2012;Herbstferien H;
08.10.2012;14.10.2012;Herbstferien NRW;
21.10.2013;26.10.2013;Herbstferien NRW / H;
14.10.2013;20.10.2013;Herbstferien H;
27.10.2013;02.11.2013;Herbstferien NRW;
24.12.2012;04.01.2013;Weihnachtsferien NRW / H;
05.01.2013;12.01.2013;Weihnachtsferien H;
21.12.2012;23.12.2012;Weihnachtsferien NRW;
23.12.2013;07.01.2014;Weihnachtsferien NRW / H;
08.01.2014;11.01.2014;Weihnachtsferien H;
